epoch,train_loss,valid_loss,error_rate,time
0,0.15110965073108673,0.034835003316402435,0.013124999590218067,18:34
1,0.0550827756524086,0.022867780178785324,0.008124999701976776,18:34
2,0.04933401569724083,0.03759092837572098,0.013124999590218067,18:21
3,0.05582815408706665,0.05681570619344711,0.015625,18:21
4,0.039750147610902786,0.04677529260516167,0.016249999403953552,18:08
5,0.023400241509079933,0.02677290514111519,0.00937500037252903,18:04
6,0.01510519627481699,0.05887050926685333,0.010625000111758709,18:06
7,0.015114141628146172,0.03401139751076698,0.009999999776482582,18:27
8,0.019342685118317604,0.07227081060409546,0.014375000260770321,18:05
9,0.009876131080091,0.05221840366721153,0.010625000111758709,18:02
10,0.012136685661971569,0.020662076771259308,0.006874999962747097,18:10
11,0.005985592491924763,0.04213140532374382,0.011874999850988388,18:08
12,0.005082098301500082,0.04098384454846382,0.010625000111758709,18:06
13,0.0032559940591454506,0.04486968368291855,0.011250000447034836,18:04
14,0.004242640919983387,0.03813349828124046,0.009999999776482582,18:04
15,0.0016965338727459311,0.03371491655707359,0.00937500037252903,18:05
16,0.001691473531536758,0.03570742905139923,0.008750000037252903,18:01
17,0.002261481247842312,0.03208662569522858,0.008750000037252903,18:06
18,0.0008370972936972976,0.0287410207092762,0.009999999776482582,18:12
19,0.0008098179823718965,0.028835507109761238,0.008124999701976776,18:10
