epoch,train_loss,valid_loss,error_rate,time
0,0.5315806269645691,0.3633902966976166,0.11697027832269669,17:02
1,0.31394895911216736,0.1744261533021927,0.041227228939533234,17:02
2,0.1964116245508194,0.15261296927928925,0.02876318246126175,17:04
3,0.1264125108718872,0.11722078919410706,0.03259827569127083,17:01
4,0.08244872838258743,0.18923671543598175,0.027804410085082054,17:08
5,0.06620650738477707,0.11325113475322723,0.02109300158917904,17:06
6,0.050981320440769196,0.11726236343383789,0.02492809295654297,17:01
7,0.04996649548411369,0.05861338600516319,0.01342281885445118,17:01
8,0.024398719891905785,0.08217848837375641,0.016299137845635414,16:56
9,0.018598895519971848,0.09845122694969177,0.016299137845635414,16:56
10,0.020424803718924522,0.05045183375477791,0.0191754549741745,17:01
11,0.020317023620009422,0.08147343248128891,0.014381591230630875,16:58
12,0.013383571989834309,0.05818156152963638,0.01342281885445118,16:56
13,0.011084998957812786,0.05722159892320633,0.012464046478271484,16:56
14,0.008977574296295643,0.08805589377880096,0.01342281885445118,16:56
15,0.004458551295101643,0.046720944344997406,0.008628955110907555,16:56
16,0.00415212893858552,0.06005536764860153,0.011505273170769215,16:56
17,0.00643849465996027,0.038322027772665024,0.008628955110907555,16:54
18,0.004532798659056425,0.04598364606499672,0.00958772748708725,17:00
19,0.0038650957867503166,0.04422656446695328,0.008628955110907555,16:55
