epoch,train_loss,valid_loss,error_rate,time
0,0.4436260759830475,0.23175421357154846,0.06807287037372589,05:00
1,0.23994682729244232,0.12112385034561157,0.03451582044363022,04:58
2,0.12551045417785645,0.15159325301647186,0.03259827569127083,04:59
3,0.08642621338367462,0.08299465477466583,0.027804410085082054,04:59
4,0.060230355709791183,0.1183691918849945,0.03068072907626629,05:02
5,0.03792227432131767,0.08528056740760803,0.02684563770890236,04:58
6,0.035981014370918274,0.07484009116888046,0.023969318717718124,05:02
7,0.03129657357931137,0.06748686730861664,0.022051773965358734,05:04
8,0.017543936148285866,0.05938245728611946,0.020134227350354195,05:20
9,0.014925028197467327,0.06961717456579208,0.0191754549741745,05:03
