epoch,train_loss,valid_loss,error_rate,time
0,0.4739479422569275,0.1689176708459854,0.06750000268220901,02:08
1,0.2408771812915802,0.10373053699731827,0.04500000178813934,02:08
2,0.17413336038589478,0.10131924599409103,0.04437499865889549,02:08
3,0.15251395106315613,0.08527621626853943,0.03437500074505806,02:08
4,0.13203230500221252,0.08563464879989624,0.03375000134110451,02:07
5,0.11912335455417633,0.10266802459955215,0.03750000149011612,02:08
6,0.11036650091409683,0.0805283710360527,0.03187499940395355,02:06
7,0.07849891483783722,0.07643716037273407,0.03437500074505806,02:08
8,0.08656926453113556,0.07953925430774689,0.03375000134110451,02:05
9,0.071982741355896,0.08719030022621155,0.032499998807907104,02:08
10,0.06671393662691116,0.07813476026058197,0.029999999329447746,02:08
11,0.07440067827701569,0.08373963087797165,0.030625000596046448,02:08
12,0.06298891454935074,0.0809919461607933,0.030625000596046448,02:08
13,0.052663158625364304,0.07798325270414352,0.029999999329447746,02:08
14,0.049280304461717606,0.07677861303091049,0.030625000596046448,02:08
15,0.047057099640369415,0.07788422703742981,0.030625000596046448,02:08
16,0.04509257152676582,0.07934366911649704,0.030625000596046448,02:08
17,0.04224231839179993,0.07687720656394958,0.028750000521540642,02:08
18,0.04678130894899368,0.07721557468175888,0.027499999850988388,02:08
19,0.04547562077641487,0.07621807605028152,0.029374999925494194,02:08
