epoch,train_loss,valid_loss,error_rate,time
0,0.720463216304779,0.45830756425857544,0.1687440127134323,03:05
1,0.43516674637794495,0.20424781739711761,0.05944391340017319,03:04
2,0.2706296443939209,0.14558987319469452,0.04602109268307686,03:05
3,0.1955621838569641,0.11685875803232193,0.03259827569127083,03:05
4,0.15435101091861725,0.10454916954040527,0.031639501452445984,03:05
5,0.12133916467428207,0.11528600752353668,0.03259827569127083,03:05
6,0.10880900919437408,0.11775542795658112,0.035474590957164764,03:05
7,0.09680911153554916,0.09080202132463455,0.029721956700086594,03:05
8,0.0821840688586235,0.09493974596261978,0.027804410085082054,03:06
9,0.07822083681821823,0.09492626786231995,0.03259827569127083,03:05
10,0.07429185509681702,0.09012854099273682,0.02684563770890236,03:05
11,0.07527073472738266,0.08510112017393112,0.02492809295654297,03:05
12,0.06479427218437195,0.08582685887813568,0.025886865332722664,03:05
13,0.05405499413609505,0.08988716453313828,0.03068072907626629,03:05
14,0.06270720064640045,0.09439011663198471,0.02876318246126175,03:05
15,0.048414088785648346,0.09305889159440994,0.02876318246126175,03:05
16,0.048253439366817474,0.09314016997814178,0.031639501452445984,03:05
17,0.04718354716897011,0.0878765657544136,0.03068072907626629,03:04
18,0.041727978736162186,0.09210311621427536,0.031639501452445984,03:05
19,0.0430496446788311,0.09919100254774094,0.029721956700086594,03:05
