epoch,train_loss,valid_loss,error_rate,time
0,0.577314555644989,0.27415239810943604,0.10162991285324097,12:50
1,0.3292669951915741,0.14032401144504547,0.038350909948349,12:46
2,0.1834464818239212,0.11865203082561493,0.03068072907626629,12:48
3,0.12040472030639648,0.12294840067625046,0.02876318246126175,12:49
4,0.06779956817626953,0.11225418746471405,0.025886865332722664,12:47
5,0.054963402450084686,0.05624664947390556,0.016299137845635414,12:49
6,0.05181269347667694,0.08269492536783218,0.018216682597994804,12:48
7,0.04058244824409485,0.07426761835813522,0.02301054634153843,12:45
8,0.02819998562335968,0.03507726266980171,0.00958772748708725,12:50
9,0.020678360015153885,0.037055883556604385,0.01054650079458952,12:50
10,0.009291690774261951,0.04722265526652336,0.01342281885445118,12:47
11,0.007613644935190678,0.04995720833539963,0.012464046478271484,12:49
12,0.007734871469438076,0.04305760934948921,0.008628955110907555,12:47
13,0.007200498599559069,0.05747850984334946,0.01054650079458952,12:50
14,0.008369009010493755,0.052214544266462326,0.008628955110907555,12:47
15,0.007535168901085854,0.030762948095798492,0.007670182269066572,12:40
16,0.007744880858808756,0.04001559689640999,0.00671140942722559,12:43
17,0.0048295361921191216,0.03624390810728073,0.007670182269066572,12:43
18,0.002136513125151396,0.034693021327257156,0.00671140942722559,12:41
19,0.001537723233923316,0.034786321222782135,0.00671140942722559,12:43
