epoch,train_loss,valid_loss,error_rate,time
0,0.5686408877372742,0.21833837032318115,0.07382550090551376,04:21
1,0.2902311384677887,0.13219811022281647,0.03739213943481445,04:20
2,0.14911092817783356,0.14455059170722961,0.03451582044363022,04:21
3,0.10368449240922928,0.1133653074502945,0.029721956700086594,04:21
4,0.06890454888343811,0.2133157104253769,0.03930968418717384,04:20
5,0.05249747261404991,0.127134770154953,0.029721956700086594,04:21
6,0.04764809459447861,0.12398310005664825,0.025886865332722664,04:21
7,0.03528261184692383,0.11070172488689423,0.02492809295654297,04:21
8,0.022855250164866447,0.10942147672176361,0.023969318717718124,04:21
9,0.019901102408766747,0.12256116420030594,0.022051773965358734,04:21
