epoch,train_loss,valid_loss,error_rate,time
0,0.1361333578824997,0.054942455142736435,0.016249999403953552,16:50
1,0.07314892113208771,0.043658677488565445,0.014999999664723873,16:57
2,0.05586501955986023,0.04272369295358658,0.012500000186264515,16:59
3,0.053805261850357056,0.05739469453692436,0.013749999925494194,16:57
4,0.04137967526912689,0.031976498663425446,0.009999999776482582,16:59
5,0.027574798092246056,0.04946330189704895,0.014375000260770321,16:57
6,0.0223391056060791,0.05373559519648552,0.014375000260770321,17:00
7,0.01303743664175272,0.03722069039940834,0.008750000037252903,16:55
8,0.017771458253264427,0.06640845537185669,0.016249999403953552,16:57
9,0.019520116969943047,0.0437316857278347,0.00937500037252903,17:01
10,0.00739422207698226,0.05012977495789528,0.012500000186264515,17:04
11,0.007341668009757996,0.0441715382039547,0.011874999850988388,17:02
12,0.010276402346789837,0.0454462394118309,0.008750000037252903,17:03
13,0.0049825082533061504,0.044049736112356186,0.008750000037252903,17:06
14,0.0034358673729002476,0.038164447993040085,0.008124999701976776,17:01
15,0.003110833466053009,0.04347468540072441,0.007499999832361937,17:05
16,0.0028844201005995274,0.044948481023311615,0.008124999701976776,17:11
17,0.0016363966278731823,0.044764865189790726,0.008124999701976776,17:11
18,0.0020938143134117126,0.041108500212430954,0.008124999701976776,17:31
19,0.002724219812080264,0.04047562927007675,0.008124999701976776,17:07
