epoch,train_loss,valid_loss,error_rate,time
0,0.821135401725769,0.46506184339523315,0.1687440127134323,04:10
1,0.5030227303504944,0.2608090341091156,0.08053690940141678,04:17
2,0.3107531666755676,0.20547553896903992,0.06519655138254166,04:18
3,0.22008614242076874,0.13316716253757477,0.04410354793071747,04:18
4,0.15709149837493896,0.10330351442098618,0.03643336519598961,04:17
5,0.10863354057073593,0.11735989153385162,0.03068072907626629,04:17
6,0.08583599328994751,0.12942709028720856,0.03068072907626629,04:18
7,0.07882848381996155,0.09647644311189651,0.03259827569127083,04:19
8,0.05623036250472069,0.07938335835933685,0.020134227350354195,04:18
9,0.043726369738578796,0.11232539266347885,0.031639501452445984,04:19
10,0.03980022668838501,0.10092437267303467,0.027804410085082054,04:19
11,0.04444902017712593,0.0863272175192833,0.025886865332722664,04:18
12,0.028360635042190552,0.0754668191075325,0.02492809295654297,04:18
13,0.019125990569591522,0.08641007542610168,0.027804410085082054,04:17
14,0.02388599142432213,0.09213034808635712,0.025886865332722664,04:18
15,0.015559704974293709,0.085067018866539,0.023969318717718124,04:18
16,0.02121475338935852,0.09055782854557037,0.025886865332722664,04:19
17,0.020721251145005226,0.08205940574407578,0.020134227350354195,04:18
18,0.012946256436407566,0.08454443514347076,0.022051773965358734,04:19
19,0.012712094932794571,0.084078349173069,0.02109300158917904,04:18
