epoch,train_loss,valid_loss,error_rate,time
0,0.6363183856010437,0.4392363727092743,0.1495685577392578,02:06
1,0.3902682662010193,0.20844726264476776,0.06232022866606712,02:08
2,0.24990108609199524,0.1726592481136322,0.05369127541780472,02:07
3,0.19458313286304474,0.10320506989955902,0.03068072907626629,02:07
4,0.1531405746936798,0.11987408250570297,0.035474590957164764,02:07
5,0.11159974336624146,0.1384439319372177,0.045062318444252014,02:08
6,0.10817135125398636,0.11596334725618362,0.041227228939533234,02:08
7,0.10568459331989288,0.0986710786819458,0.03068072907626629,02:07
8,0.08433760702610016,0.100321926176548,0.03068072907626629,02:09
9,0.07914571464061737,0.11280985176563263,0.03451582044363022,02:08
10,0.06895435601472855,0.103800930082798,0.033557046204805374,02:06
11,0.06734658777713776,0.10034108906984329,0.035474590957164764,02:08
12,0.06481726467609406,0.10281692445278168,0.033557046204805374,02:08
13,0.0648709163069725,0.09480764716863632,0.031639501452445984,02:07
14,0.062204621732234955,0.09770185500383377,0.033557046204805374,02:08
15,0.05406666919589043,0.09377998113632202,0.03068072907626629,02:05
16,0.051014479249715805,0.10118216276168823,0.03259827569127083,02:08
17,0.05303515866398811,0.09445006400346756,0.031639501452445984,02:08
18,0.04926633834838867,0.0969192162156105,0.03259827569127083,02:08
19,0.04727648198604584,0.09477275609970093,0.03259827569127083,02:08
