epoch,train_loss,valid_loss,error_rate,time
0,0.12544502317905426,0.026130832731723785,0.011250000447034836,23:49
1,0.059395354241132736,0.016937727108597755,0.005625000223517418,23:26
2,0.047633472830057144,0.03573833405971527,0.008750000037252903,23:25
3,0.05736178532242775,0.04733840376138687,0.012500000186264515,23:25
4,0.04093551263213158,0.020848583430051804,0.006874999962747097,23:25
5,0.029881393536925316,0.03962937369942665,0.012500000186264515,23:26
6,0.028828293085098267,0.08987695723772049,0.017500000074505806,23:29
7,0.018922412768006325,0.038537148386240005,0.008124999701976776,23:38
8,0.02929714508354664,0.0850604847073555,0.020625000819563866,23:40
9,0.017308827489614487,0.03615399822592735,0.009999999776482582,23:39
10,0.011479559354484081,0.023157812654972076,0.008124999701976776,23:43
11,0.004861289169639349,0.017994988709688187,0.0062500000931322575,23:42
12,0.006886697374284267,0.028380120173096657,0.00937500037252903,23:43
13,0.006855719722807407,0.04119594395160675,0.010625000111758709,23:43
14,0.0034930540714412928,0.030362581834197044,0.008124999701976776,23:46
15,0.0027172311674803495,0.026124322786927223,0.0062500000931322575,23:47
16,0.0014979138504713774,0.028838440775871277,0.007499999832361937,23:46
17,0.0016513194423168898,0.028069593012332916,0.008124999701976776,23:48
18,0.0011638386640697718,0.024744465947151184,0.006874999962747097,23:49
